City,Station,Date,PM2.5,PM10,SO2,CO,OZONE,NO2,NH3
Amaravati,"Secretariat, Amaravati - APPCB",20-11-2023 12:00:00,NA,NA,NA,NA,NA,,
Anantapur,"Gulzarpet, Anantapur - APPCB",20-11-2023 12:00:00,24,24,7,29,25,23,3
Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",20-11-2023 12:00:00,19,22,9,4,35,14,2
Kadapa,"Yerramukkapalli, Kadapa - APPCB",20-11-2023 12:00:00,37,32,2,21,21,30,1
Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-11-2023 12:00:00,44,58,12,24,28,18,3
Tirupati,"Tirumala, Tirupati - APPCB",20-11-2023 12:00:00,49,41,11,17,29,46,3
Tirupati,"Vaikuntapuram, Tirupati - APPCB",20-11-2023 12:00:00,31,31,5,48,13,19,3
Vijayawada,"HB Colony, Vijayawada - APPCB",20-11-2023 12:00:00,50,48,8,18,49,11,4
Vijayawada,"Kanuru, Vijayawada - APPCB",20-11-2023 12:00:00,42,39,4,47,40,16,1
Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",20-11-2023 12:00:00,49,45,13,33,54,53,5
Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",20-11-2023 12:00:00,57,74,12,27,14,26,3
Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",20-11-2023 12:00:00,271,273,7,68,7,35,3
Guwahati,"IITG, Guwahati - PCBA",20-11-2023 12:00:00,77,66,10,16,5,2,5
Guwahati,"LGBI Airport, Guwahati - PCBA",20-11-2023 12:00:00,99,82,2,32,48,6,2
Guwahati,"Pan Bazaar, Guwahati - PCBA",20-11-2023 12:00:00,89,86,56,36,16,NA,2
Guwahati,"Railway Colony, Guwahati - PCBA",20-11-2023 12:00:00,114,90,34,37,23,3,
Nagaon,"Christianpatty, Nagaon - PCBA",20-11-2023 12:00:00,40,112,NA,25,6,18,3
Nalbari,"Bata Chowk, Nalbari - PCBA",20-11-2023 12:00:00,150,162,13,40,18,44,9
Silchar,"Tarapur, Silchar - PCBA",20-11-2023 12:00:00,23,40,5,33,,15,1
Sivasagar,"Girls College, Sivasagar - PCBA",20-11-2023 12:00:00,14,47,6,21,3,15,2
Araria,"Kharahiya Basti, Araria - BSPCB",20-11-2023 12:00:00,177,141,17,58,8,8,6
Arrah,"New DM Office, Arrah - BSPCB",20-11-2023 12:00:00,259,171,18,25,13,3,7
Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",20-11-2023 12:00:00,NA,NA,12,64,18,9,1
Begusarai,"DRCC Anandpur, Begusarai - BSPCB",20-11-2023 12:00:00,310,264,13,31,16,37,4
Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",20-11-2023 12:00:00,191,194,16,84,,NA,5
Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-11-2023 12:00:00,137,96,24,38,29,50,5
Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",20-11-2023 12:00:00,197,155,21,15,13,18,7
Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",20-11-2023 12:00:00,41,73,6,30,19,9,2
Chhapra,"Darshan Nagar, Chhapra - BSPCB",20-11-2023 12:00:00,273,193,51,57,2,20,6
Gaya,"Collectorate, Gaya - BSPCB",20-11-2023 12:00:00,177,,16,34,57,11,
Gaya,"Kareemganj, Gaya - BSPCB",20-11-2023 12:00:00,240,175,9,31,32,31,5
Gaya,"SFTI Kusdihra, Gaya - BSPCB",20-11-2023 12:00:00,55,52,8,50,14,17,5
Hajipur,"Industrial Area, Hajipur - BSPCB",20-11-2023 12:00:00,94,158,8,52,33,12,4
Katihar,"Mirchaibari, Katihar - BSPCB",20-11-2023 12:00:00,222,163,21,33,23,34,7
Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",20-11-2023 12:00:00,138,149,17,12,9,68,9
Manguraha,"Forest Rest House, Manguraha - BSPCB",20-11-2023 12:00:00,65,75,1,48,20,29,NA
Motihari,"Gandak Colony, Motihari - BSPCB",20-11-2023 12:00:00,201,145,NA,68,33,102,17
Munger,"Town Hall, Munger - BSPCB",20-11-2023 12:00:00,49,72,,46,3,19,3
Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",20-11-2023 12:00:00,240,217,10,70,39,6,8
Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",20-11-2023 12:00:00,272,206,18,44,19,9,2
Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",20-11-2023 12:00:00,113,,6,42,36,52,
Patna,"DRM Office Danapur, Patna - BSPCB",20-11-2023 12:00:00,222,175,6,73,19,31,2
Patna,"Govt. High School Shikarpur, Patna - BSPCB",20-11-2023 12:00:00,NA,NA,NA,NA,NA,NA,NA
Patna,"IGSC Planetarium Complex, Patna - BSPCB",20-11-2023 12:00:00,140,,3,7,15,19,
Patna,"Muradpur, Patna - BSPCB",20-11-2023 12:00:00,271,306,13,54,15,34,5
Patna,"Rajbansi Nagar, Patna - BSPCB",20-11-2023 12:00:00,76,158,26,74,21,45,7
Patna,"Samanpura, Patna - BSPCB",20-11-2023 12:00:00,263,186,10,70,34,18,9
Purnia,"Mariam Nagar, Purnia - BSPCB",20-11-2023 12:00:00,NA,NA,NA,NA,NA,NA,NA
Rajgir,"Dangi Tola, Rajgir - BSPCB",20-11-2023 12:00:00,179,120,4,10,23,8,1
Saharsa,"Police Line, Saharsa - BSPCB",20-11-2023 12:00:00,219,153,2,15,20,7,9
Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",20-11-2023 12:00:00,169,92,16,35,8,4,3
Sasaram,"Dada Peer, Sasaram - BSPCB",20-11-2023 12:00:00,59,62,NA,29,4,13,5
Siwan,"Chitragupta Nagar, Siwan - BSPCB",20-11-2023 12:00:00,NA,NA,22,130,35,75,7
Chandigarh,"Sector 22, Chandigarh - CPCC",20-11-2023 12:00:00,107,134,13,31,30,58,5
Chandigarh,"Sector-25, Chandigarh - CPCC",20-11-2023 12:00:00,112,120,10,39,5,16,16
Chandigarh,"Sector-53, Chandigarh - CPCC",20-11-2023 12:00:00,132,124,13,68,7,57,4
Bhilai,"32Bungalows, Bhilai - CECB",20-11-2023 12:00:00,82,99,11,36,4,19,6
Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",20-11-2023 12:00:00,41,49,11,40,16,6,1
Bhilai,"Hathkhoj, Bhilai - CECB",20-11-2023 12:00:00,86,104,43,24,37,38,8
Bilaspur,"Mangala, Bilaspur - NTPC",20-11-2023 12:00:00,29,40,,,,6,
Chhal,"Nawapara SECL Colony, Chhal - CECB",20-11-2023 12:00:00,34,49,13,62,14,16,2
Korba,"Rampur, Korba - CECB",20-11-2023 12:00:00,26,61,8,23,NA,27,2
Korba,"Urja Nagar, Korba - CECB",20-11-2023 12:00:00,23,42,10,23,47,61,5
Milupara,"Govt. Higher Secondary School, Milupara - CECB",20-11-2023 12:00:00,18,31,9,20,25,13,2
Raipur,"AIIMS, Raipur - CECB",20-11-2023 12:00:00,NA,NA,NA,NA,NA,NA,
Raipur,"Bhatagaon New ISBT, Raipur - CECB",20-11-2023 12:00:00,43,49,3,37,4,46,1
Raipur,"Siltara Phase-II, Raipur - CECB",20-11-2023 12:00:00,40,104,3,49,3,24,12
Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",20-11-2023 12:00:00,NA,NA,NA,26,36,NA,NA
Delhi,"Alipur, Delhi - DPCC",20-11-2023 12:00:00,365,210,9,70,17,48,10
Delhi,"Anand Vihar, Delhi - DPCC",20-11-2023 12:00:00,359,323,7,,48,51,10
Delhi,"Ashok Vihar, Delhi - DPCC",20-11-2023 12:00:00,309,343,6,,3,35,5
Delhi,"Aya Nagar, Delhi - IMD",20-11-2023 12:00:00,261,206,,86,22,7,
Delhi,"Bawana, Delhi - DPCC",20-11-2023 12:00:00,416,367,4,100,36,26,11
Delhi,"Burari Crossing, Delhi - IMD",20-11-2023 12:00:00,320,247,,117,12,6,
Delhi,"CRRI Mathura Road, Delhi - IMD",20-11-2023 12:00:00,259,229,,106,38,27,
Delhi,"DTU, Delhi - CPCB",20-11-2023 12:00:00,220,283,32,102,7,245,25
Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",20-11-2023 12:00:00,340,226,6,103,24,38,9
Delhi,"Dwarka-Sector 8, Delhi - DPCC ",20-11-2023 12:00:00,384,343,4,110,4,63,24
Delhi,"IGI Airport (T3), Delhi - IMD",20-11-2023 12:00:00,328,242,,119,5,26,
Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",20-11-2023 12:00:00,248,189,18,86,24,21,12
Delhi,"ITO, Delhi - CPCB",20-11-2023 12:00:00,321,204,15,110,38,242,14
Delhi,"Jahangirpuri, Delhi - DPCC",20-11-2023 12:00:00,402,377,21,83,18,20,20
Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",20-11-2023 12:00:00,325,208,12,106,31,33,13
Delhi,"Lodhi Road, Delhi - IMD",20-11-2023 12:00:00,283,172,,122,28,7,
Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",20-11-2023 12:00:00,332,238,6,83,17,44,26
Delhi,"Mandir Marg, Delhi - DPCC",20-11-2023 12:00:00,336,210,5,75,16,66,18
Delhi,"Mundka, Delhi - DPCC",20-11-2023 12:00:00,384,324,16,83,13,78,9
Delhi,"NSIT Dwarka, Delhi - CPCB",20-11-2023 12:00:00,345,252,18,89,23,52,17
Delhi,"Najafgarh, Delhi - DPCC",20-11-2023 12:00:00,326,182,4,68,1,22,22
Delhi,"Narela, Delhi - DPCC",20-11-2023 12:00:00,374,322,4,61,12,52,10
Delhi,"Nehru Nagar, Delhi - DPCC",20-11-2023 12:00:00,388,281,13,63,9,94,16
Delhi,"New Moti Bagh, Delhi - MHUA",20-11-2023 12:00:00,346,,,127,,6,
Delhi,"North Campus, DU, Delhi - IMD",20-11-2023 12:00:00,341,246,,112,20,39,
